0 0 1
0 0 3
0 0 6
0 0 12
0 0 22
0 0 32
0 0 47
0 0 69
0 0 96
0 0 130
0 0 206
0 0 309
0 0 439
0 0 596
0 0 780
1 2 7 8
1 4 7 10
1 2 13 14
1 5 14 16
1 7 13 18
1 8 10 13 16 23 24
1 8 10 24 25
1 8 24 26
1 13 23 29
1 2 33 34
1 5 34 36
1 10 36 38
1 18 38 40
1 23 33 42
1 2 48 49
1 4 48 51
1 16 18 51 53
1 16 51 54
1 24 49 57
1 33 48 62
1 4 5 70 71
1 4 70 72
1 8 71 75
1 13 70 77
1 23 70 79
1 34 71 86
1 48 70 91
1 4 5 97 98
1 4 97 99
1 7 97 102
1 14 98 106
1 23 97 110
1 33 97 113
1 49 98 118
1 75 102 123
1 2 131 132
1 4 131 134
1 7 131 136
1 13 131 142
1 24 132 150
1 36 134 156
1 48 131 166
1 70 131 175
1 98 132 188
1 4 5 207 208
1 4 207 209
1 8 208 212
1 14 208 214
1 23 207 220
1 33 207 225
1 48 207 233
1 70 207 246
1 97 207 264
1 132 208 282
1 2 310 311
1 4 310 313
1 7 310 315
1 16 313 321
1 24 311 323
1 33 310 331
1 48 310 336
1 71 311 354
1 97 310 367
1 131 310 385
1 207 310 412
1 2 440 441
1 5 441 443
1 7 440 445
1 13 440 449
1 23 440 459
1 33 440 465
1 51 443 474
1 71 441 484
1 97 440 497
1 134 443 515
1 208 441 542
1 310 440 569
1 2 597 598
1 5 598 600
1 10 600 602
1 13 597 604
1 23 597 610
1 33 597 618
1 48 597 631
1 70 597 641
1 98 598 654
1 131 597 672
1 207 597 699
1 313 600 726
1 440 597 753
1 4 5 781 782
1 4 781 783
1 7 781 786
1 13 781 790
1 23 781 794
1 34 782 799
1 49 782 807
1 70 781 820
1 97 781 838
1 131 781 856
1 207 781 883
1 311 782 910
1 440 781 937
1 598 782 964
2 9 15 19 20
2 9 17 19 20 30 31 35 37 43 44
2 28 39 44 45
2 9 11 27 28 50 52 58 59
2 31 55 59 60
2 35 50 63 64
2 41 56 66 67
2 17 20 27 43 45 52 55 56 63 66 73 74 80 81
2 27 76 81 82
2 30 78 80 84
2 37 74 87 88
2 11 19 39 41 73 78 88 90
2 52 73 92 93
2 17 20 52 55 56 73 74 76 92 95
2 11 100 103 104
2 17 101 107 108
2 17 20 27 43 45 52 55 56 63 66 100 101 111 112
2 9 15 19 27 28 39 41 43 44 107 111 112 114 115
2 43 111 114 116
2 11 15 27 28 31 50 76 78 81 84 92 95 100 103 107 108 119 120
2 58 112 119 121
2 15 50 78 92 95 107 119 120 124 125
2 90 115 125 126
2 95 120 124 128
2 9 133 137 138
2 11 135 137 140
2 15 133 143 144
2 19 137 143 146
2 27 28 138 140 151 152
2 27 138 151 153
2 39 140 157 158
2 41 146 158 160
2 44 152 157 162
2 50 133 167 168
2 52 135 167 170
2 58 151 168 172
2 73 135 176 177
2 78 143 176 179
2 88 157 177 181
2 92 167 176 184
2 107 144 189 190
2 112 151 189 192
2 115 160 190 194
2 119 168 189 197
2 125 179 190 201
2 17 211 215 216
2 20 213 215 218
2 27 43 45 52 55 56 63 66 210 213 216 218 221 222
2 27 213 222 223
2 43 45 221 223 226 227
2 41 218 227 228
2 43 221 226 230
2 52 210 234 235
2 55 56 216 218 235 237
2 55 216 235 238
2 63 226 234 241
2 73 74 210 211 247 248
2 73 210 247 249
2 76 213 248 252
2 80 221 247 254
2 92 234 247 259
2 100 101 210 211 265 266
2 100 210 265 267
2 107 215 266 270
2 111 221 265 274
2 114 226 265 277
2 138 213 283 284
2 144 215 283 286
2 151 222 283 290
2 158 227 284 294
2 189 266 283 300
2 9 312 316 317
2 11 314 316 319
2 27 28 317 319 324 325
2 27 317 324 326
2 31 322 325 329
2 35 312 332 333
2 52 55 63 67 314 322 332 335
2 50 312 337 338
2 52 314 337 340
2 55 322 340 342
2 58 324 338 344
2 63 332 337 349
2 76 317 355 356
2 81 84 324 329 355 358
2 81 324 355 359
2 87 333 355 364
2 100 314 368 369
2 103 316 368 371
2 108 322 369 375
2 114 332 368 377
2 124 356 371 380
2 133 312 386 387
2 135 314 386 389
2 137 316 386 391
2 151 324 387 397
2 167 337 386 403
2 210 314 413 414
2 216 322 414 416
2 226 332 413 418
2 234 337 413 421
2 265 368 413 430
2 9 442 446 447
2 15 442 450 451
2 17 444 451 453
2 19 446 450 455
2 30 31 450 453 460 461
2 30 450 460 462
